RSU Count, ScenarioId, ContentId, Timestamp, Completion, REQ/REP, SimType, Centrality, OriginPolicy
5,1,4,135.227848,-,REQ,ML,Spectral,Push
5,1,4,136.244504,136.244504,REP,ML,Spectral,Push
5,1,5,130.227848,-,REQ,ML,Spectral,Push
5,1,5,130.374158,130.913636,REP,ML,Spectral,Push
5,2,4,135.227848,-,REQ,ML,Spectral,Pull
5,2,4,139.494222,139.494222,REP,ML,Spectral,Pull
5,2,5,130.227848,-,REQ,ML,Spectral,Pull
5,2,5,133.084930,133.486480,REP,ML,Spectral,Pull
5,9,4,215.297577,-,REQ,ML,Spectral,Push
5,9,4,216.313285,216.313285,REP,ML,Spectral,Push
5,9,5,210.297577,-,REQ,ML,Spectral,Push
5,9,5,210.788353,210.856809,REP,ML,Spectral,Push
5,10,4,215.164740,-,REQ,ML,Spectral,Pull
5,10,4,220.175668,220.175668,REP,ML,Spectral,Pull
5,10,5,210.164740,-,REQ,ML,Spectral,Pull
5,10,5,213.393175,213.646227,REP,ML,Spectral,Pull
5,17,4,295.016712,-,REQ,ML,Spectral,Push
5,17,4,296.270781,296.270781,REP,ML,Spectral,Push
5,17,5,290.016712,-,REQ,ML,Spectral,Push
5,17,5,290.482086,290.748636,REP,ML,Spectral,Push
5,18,4,295.360437,-,REQ,ML,Spectral,Pull
5,18,4,299.809684,299.809684,REP,ML,Spectral,Pull
5,18,5,290.360437,-,REQ,ML,Spectral,Pull
5,18,5,293.179529,293.693554,REP,ML,Spectral,Pull
10,1,4,135.110682,-,REQ,ML,Spectral,Push
10,1,4,136.163128,136.163128,REP,ML,Spectral,Push
10,1,5,130.110682,-,REQ,ML,Spectral,Push
10,1,5,130.289282,130.904373,REP,ML,Spectral,Push
10,2,4,135.110682,-,REQ,ML,Spectral,Pull
10,2,4,139.674523,139.674523,REP,ML,Spectral,Pull
10,2,5,130.110682,-,REQ,ML,Spectral,Pull
10,2,5,133.296131,133.701103,REP,ML,Spectral,Pull
10,9,4,215.276045,-,REQ,ML,Spectral,Push
10,9,4,216.716280,216.716280,REP,ML,Spectral,Push
10,9,5,210.276045,-,REQ,ML,Spectral,Push
10,9,5,210.715224,210.858526,REP,ML,Spectral,Push
10,10,4,215.380753,-,REQ,ML,Spectral,Pull
10,10,4,220.871149,220.871149,REP,ML,Spectral,Pull
10,10,5,210.380753,-,REQ,ML,Spectral,Pull
10,10,5,214.391454,214.501764,REP,ML,Spectral,Pull
10,17,4,295.161467,-,REQ,ML,Spectral,Push
10,17,4,296.341879,296.341879,REP,ML,Spectral,Push
10,17,5,290.161467,-,REQ,ML,Spectral,Push
10,17,5,290.553010,290.642714,REP,ML,Spectral,Push
10,18,4,295.341090,-,REQ,ML,Spectral,Pull
10,18,4,300.890564,300.890564,REP,ML,Spectral,Pull
10,18,5,290.341090,-,REQ,ML,Spectral,Pull
10,18,5,294.358666,294.530769,REP,ML,Spectral,Pull
15,1,4,135.219651,-,REQ,ML,Spectral,Push
15,1,4,137.268457,137.268457,REP,ML,Spectral,Push
15,1,5,130.219651,-,REQ,ML,Spectral,Push
15,1,5,131.067564,131.510766,REP,ML,Spectral,Push
15,2,4,135.219651,-,REQ,ML,Spectral,Pull
15,2,4,140.591206,140.591206,REP,ML,Spectral,Pull
15,2,5,130.219651,-,REQ,ML,Spectral,Pull
15,2,5,133.335824,133.577812,REP,ML,Spectral,Pull
15,9,4,215.140757,-,REQ,ML,Spectral,Push
15,9,4,216.848730,216.848730,REP,ML,Spectral,Push
15,9,5,210.140757,-,REQ,ML,Spectral,Push
15,9,5,210.590911,210.890728,REP,ML,Spectral,Push
15,10,4,215.133513,-,REQ,ML,Spectral,Pull
15,10,4,222.024987,222.024987,REP,ML,Spectral,Pull
15,10,5,210.246827,-,REQ,ML,Spectral,Pull
15,10,5,214.312231,215.306689,REP,ML,Spectral,Pull
15,17,4,295.293094,-,REQ,ML,Spectral,Push
15,17,4,296.463727,296.463727,REP,ML,Spectral,Push
15,17,5,290.293094,-,REQ,ML,Spectral,Push
15,17,5,290.703218,290.779045,REP,ML,Spectral,Push
15,18,4,295.062680,-,REQ,ML,Spectral,Pull
15,18,4,300.678214,300.678214,REP,ML,Spectral,Pull
15,18,5,290.062680,-,REQ,ML,Spectral,Pull
15,18,5,296.048659,296.097159,REP,ML,Spectral,Pull
20,18,4,295.087086,-,REQ,ML,Spectral,Pull
20,18,4,300.062016,300.062016,REP,ML,Spectral,Pull
20,18,5,290.087086,-,REQ,ML,Spectral,Pull
20,18,5,293.532823,293.944162,REP,ML,Spectral,Pull
20,17,4,295.250107,-,REQ,ML,Spectral,Push
20,17,4,296.293063,296.293063,REP,ML,Spectral,Push
20,17,5,290.250107,-,REQ,ML,Spectral,Push
20,17,5,290.562013,290.582444,REP,ML,Spectral,Push
20,1,4,135.326525,-,REQ,ML,Spectral,Push
20,1,4,139.919050,139.919050,REP,ML,Spectral,Push
20,1,5,130.326525,-,REQ,ML,Spectral,Push
20,1,5,132.954517,133.664271,REP,ML,Spectral,Push
20,2,4,135.326525,-,REQ,ML,Spectral,Pull
20,2,4,140.999044,140.999044,REP,ML,Spectral,Pull
20,2,5,130.326525,-,REQ,ML,Spectral,Pull
20,2,5,134.762553,135.191220,REP,ML,Spectral,Pull
20,9,4,215.290382,-,REQ,ML,Spectral,Push
20,9,4,216.690818,216.690818,REP,ML,Spectral,Push
20,9,5,210.148580,-,REQ,ML,Spectral,Push
20,9,5,210.506405,210.658159,REP,ML,Spectral,Push
20,10,4,215.290382,-,REQ,ML,Spectral,Pull
20,10,4,220.512630,220.512630,REP,ML,Spectral,Pull
20,10,5,210.290382,-,REQ,ML,Spectral,Pull
20,10,5,214.264157,214.805209,REP,ML,Spectral,Pull
