RSU Count, ScenarioId, ContentId, Timestamp, Completion, REQ/REP, SimType, Centrality, OriginPolicy
5,1,4,135.227848,-,REQ,ML,Degree,Push
5,1,4,136.307027,136.307027,REP,ML,Degree,Push
5,1,5,130.227848,-,REQ,ML,Degree,Push
5,1,5,130.509808,130.738326,REP,ML,Degree,Push
5,2,4,135.227848,-,REQ,ML,Degree,Pull
5,2,4,139.688862,139.688862,REP,ML,Degree,Pull
5,2,5,130.227848,-,REQ,ML,Degree,Pull
5,2,5,133.259760,133.423034,REP,ML,Degree,Pull
5,10,4,215.218323,-,REQ,ML,Degree,Pull
5,10,4,220.879502,220.879502,REP,ML,Degree,Pull
5,10,5,210.218323,-,REQ,ML,Degree,Pull
5,10,5,212.955121,213.293535,REP,ML,Degree,Pull
5,18,4,295.360437,-,REQ,ML,Degree,Pull
5,18,4,301.075113,301.075113,REP,ML,Degree,Pull
5,18,5,290.360437,-,REQ,ML,Degree,Pull
5,18,5,294.964531,295.583083,REP,ML,Degree,Pull
10,1,4,135.110682,-,REQ,ML,Degree,Push
10,1,4,136.409311,136.409311,REP,ML,Degree,Push
10,1,5,130.110682,-,REQ,ML,Degree,Push
10,1,5,130.246664,130.537578,REP,ML,Degree,Push
10,2,4,135.110682,-,REQ,ML,Degree,Pull
10,2,4,139.677183,139.677183,REP,ML,Degree,Pull
10,2,5,130.110682,-,REQ,ML,Degree,Pull
10,2,5,133.302185,133.478404,REP,ML,Degree,Pull
10,10,4,215.380753,-,REQ,ML,Degree,Pull
10,10,4,219.228409,219.228409,REP,ML,Degree,Pull
10,10,5,210.380753,-,REQ,ML,Degree,Pull
10,10,5,212.662614,212.764429,REP,ML,Degree,Pull
15,1,4,135.219651,-,REQ,ML,Degree,Push
15,1,4,136.449486,136.449486,REP,ML,Degree,Push
15,1,5,130.219651,-,REQ,ML,Degree,Push
15,1,5,130.572222,130.736466,REP,ML,Degree,Push
15,2,4,135.219651,-,REQ,ML,Degree,Pull
15,2,4,139.628065,139.628065,REP,ML,Degree,Pull
15,2,5,130.219651,-,REQ,ML,Degree,Pull
15,2,5,133.016815,133.798840,REP,ML,Degree,Pull
15,10,4,215.133513,-,REQ,ML,Degree,Pull
15,10,4,219.644147,219.644147,REP,ML,Degree,Pull
15,10,5,210.133513,-,REQ,ML,Degree,Pull
15,10,5,213.028512,213.269897,REP,ML,Degree,Pull
15,18,4,295.062680,-,REQ,ML,Degree,Pull
15,18,4,302.442646,302.442646,REP,ML,Degree,Pull
15,18,5,290.062680,-,REQ,ML,Degree,Pull
15,18,5,295.168046,295.355869,REP,ML,Degree,Pull
20,1,4,135.326525,-,REQ,ML,Degree,Push
20,1,4,136.677489,136.677489,REP,ML,Degree,Push
20,1,5,130.326525,-,REQ,ML,Degree,Push
20,1,5,130.802952,131.002521,REP,ML,Degree,Push
20,2,4,135.326525,-,REQ,ML,Degree,Pull
20,2,4,140.271132,140.271132,REP,ML,Degree,Pull
20,2,5,130.326525,-,REQ,ML,Degree,Pull
20,2,5,133.130017,133.329498,REP,ML,Degree,Pull
20,10,4,215.290382,-,REQ,ML,Degree,Pull
20,10,4,219.386158,219.386158,REP,ML,Degree,Pull
20,10,5,210.290382,-,REQ,ML,Degree,Pull
20,10,5,213.885223,215.223087,REP,ML,Degree,Pull
20,18,4,295.087086,-,REQ,ML,Degree,Pull
20,18,4,301.677371,301.677371,REP,ML,Degree,Pull
20,18,5,290.087086,-,REQ,ML,Degree,Pull
20,18,5,292.370000,293.556621,REP,ML,Degree,Pull
5,9,4,215.222660,-,REQ,ML,Degree,Push
5,9,4,216.235813,216.235813,REP,ML,Degree,Push
5,9,5,210.222660,-,REQ,ML,Degree,Push
5,9,5,210.546931,210.622312,REP,ML,Degree,Push
5,17,4,295.264073,-,REQ,ML,Degree,Push
5,17,4,296.311802,296.311802,REP,ML,Degree,Push
5,17,5,290.264073,-,REQ,ML,Degree,Push
5,17,5,290.622390,290.748281,REP,ML,Degree,Push
10,9,4,215.095455,-,REQ,ML,Degree,Push
10,9,4,216.174329,216.174329,REP,ML,Degree,Push
10,9,5,210.095455,-,REQ,ML,Degree,Push
10,9,5,210.262124,210.555165,REP,ML,Degree,Push
10,17,4,295.266858,-,REQ,ML,Degree,Push
10,17,4,296.290611,296.290611,REP,ML,Degree,Push
10,17,5,290.266858,-,REQ,ML,Degree,Push
10,17,5,290.570192,290.912598,REP,ML,Degree,Push
15,9,4,215.050778,-,REQ,ML,Degree,Push
15,9,4,216.476552,216.476552,REP,ML,Degree,Push
15,9,5,210.050778,-,REQ,ML,Degree,Push
15,9,5,210.386823,210.665348,REP,ML,Degree,Push
15,17,4,295.015546,-,REQ,ML,Degree,Push
15,17,4,296.335722,296.335722,REP,ML,Degree,Push
15,17,5,290.015546,-,REQ,ML,Degree,Push
15,17,5,290.513002,290.735032,REP,ML,Degree,Push
20,9,4,215.288252,-,REQ,ML,Degree,Push
20,9,4,216.521771,216.521771,REP,ML,Degree,Push
20,9,5,210.288252,-,REQ,ML,Degree,Push
20,9,5,210.613176,210.801249,REP,ML,Degree,Push
20,17,4,295.347957,-,REQ,ML,Degree,Push
20,17,4,296.521876,296.521876,REP,ML,Degree,Push
20,17,5,290.347957,-,REQ,ML,Degree,Push
20,17,5,290.560668,290.685557,REP,ML,Degree,Push
10,18,4,295.341090,-,REQ,ML,Degree,Pull
10,18,4,300.287622,300.287622,REP,ML,Degree,Pull
10,18,5,290.341090,-,REQ,ML,Degree,Pull
10,18,5,294.713459,294.946981,REP,ML,Degree,Pull
