RSU Count, ScenarioId, ContentId, Timestamp, Completion, REQ/REP, SimType, Centrality, OriginPolicy
5,3,4,135.026122,-,REQ,Manual,Degree,Push
5,3,4,136.098978,136.098978,REP,Manual,Degree,Push
5,4,4,135.026122,-,REQ,Manual,Degree,Pull
5,4,4,139.062220,139.062220,REP,Manual,Degree,Pull
5,4,5,130.026122,-,REQ,Manual,Degree,Pull
5,4,5,132.935780,133.245138,REP,Manual,Degree,Pull
5,5,4,135.026122,-,REQ,Manual,Closeness,Push
5,5,4,136.348715,136.348715,REP,Manual,Closeness,Push
5,6,4,135.026122,-,REQ,Manual,Closeness,Pull
5,6,4,139.362072,139.362072,REP,Manual,Closeness,Pull
5,7,4,135.026122,-,REQ,Manual,Betweenness,Push
5,7,4,136.493144,136.493144,REP,Manual,Betweenness,Push
5,7,5,130.026122,-,REQ,Manual,Betweenness,Push
5,7,5,130.648897,131.146194,REP,Manual,Betweenness,Push
5,8,4,135.026122,-,REQ,Manual,Betweenness,Pull
5,8,4,139.130598,139.130598,REP,Manual,Betweenness,Pull
5,11,4,215.281153,-,REQ,Manual,Degree,Push
5,11,4,216.623639,216.623639,REP,Manual,Degree,Push
5,12,4,215.424799,-,REQ,Manual,Degree,Pull
5,12,4,219.386150,219.386150,REP,Manual,Degree,Pull
5,12,5,210.424799,-,REQ,Manual,Degree,Pull
5,12,5,213.615326,213.960169,REP,Manual,Degree,Pull
5,13,4,215.069806,-,REQ,Manual,Closeness,Push
5,13,4,216.388514,216.388514,REP,Manual,Closeness,Push
5,14,4,215.367842,-,REQ,Manual,Closeness,Pull
5,14,5,210.367842,-,REQ,Manual,Closeness,Pull
5,14,5,213.598496,214.164137,REP,Manual,Closeness,Pull
5,15,4,215.355015,-,REQ,Manual,Betweenness,Push
5,15,4,216.559907,216.559907,REP,Manual,Betweenness,Push
5,15,5,210.355015,-,REQ,Manual,Betweenness,Push
5,15,5,210.713009,211.016674,REP,Manual,Betweenness,Push
5,16,4,215.264173,-,REQ,Manual,Betweenness,Pull
5,16,4,219.446284,219.446284,REP,Manual,Betweenness,Pull
5,19,4,295.493087,-,REQ,Manual,Degree,Push
5,19,4,296.991795,296.991795,REP,Manual,Degree,Push
5,19,5,290.493087,-,REQ,Manual,Degree,Push
5,19,5,290.910489,291.309877,REP,Manual,Degree,Push
5,20,4,295.317832,-,REQ,Manual,Degree,Pull
5,20,4,299.747730,299.747730,REP,Manual,Degree,Pull
5,20,5,290.317832,-,REQ,Manual,Degree,Pull
5,20,5,293.401855,293.570040,REP,Manual,Degree,Pull
5,21,4,295.366670,-,REQ,Manual,Closeness,Push
5,21,4,296.905415,296.905415,REP,Manual,Closeness,Push
5,21,5,290.366670,-,REQ,Manual,Closeness,Push
5,21,5,290.919421,291.289117,REP,Manual,Closeness,Push
5,22,4,295.487697,-,REQ,Manual,Closeness,Pull
5,22,4,299.703012,299.703012,REP,Manual,Closeness,Pull
5,23,4,295.041611,-,REQ,Manual,Betweenness,Push
5,23,4,296.394868,296.394868,REP,Manual,Betweenness,Push
5,23,5,290.041611,-,REQ,Manual,Betweenness,Push
5,23,5,290.501754,290.833608,REP,Manual,Betweenness,Push
5,24,4,295.240478,-,REQ,Manual,Betweenness,Pull
5,24,4,298.795065,298.795065,REP,Manual,Betweenness,Pull
5,24,5,290.240478,-,REQ,Manual,Betweenness,Pull
5,24,5,292.298840,292.660554,REP,Manual,Betweenness,Pull
5,3,5,130.317590,-,REQ,Manual,Degree,Push
5,3,5,130.657620,130.879911,REP,Manual,Degree,Push
5,5,5,130.317590,-,REQ,Manual,Closeness,Push
5,5,5,130.448494,130.933414,REP,Manual,Closeness,Push
5,6,5,130.317590,-,REQ,Manual,Closeness,Pull
5,6,5,133.118958,133.413431,REP,Manual,Closeness,Pull
5,8,5,130.317590,-,REQ,Manual,Betweenness,Pull
5,8,5,132.651626,133.249270,REP,Manual,Betweenness,Pull
5,11,5,210.362032,-,REQ,Manual,Degree,Push
5,11,5,210.680049,210.999517,REP,Manual,Degree,Push
5,13,5,210.303829,-,REQ,Manual,Closeness,Push
5,13,5,210.599422,210.889661,REP,Manual,Closeness,Push
5,20,5,290.427315,-,REQ,Manual,Degree,Pull
5,20,5,293.291847,293.635094,REP,Manual,Degree,Pull
5,16,5,210.031190,-,REQ,Manual,Betweenness,Pull
5,16,5,212.185794,212.480404,REP,Manual,Betweenness,Pull
5,22,5,290.243847,-,REQ,Manual,Closeness,Pull
5,22,5,292.745670,293.067247,REP,Manual,Closeness,Pull
