RSU Count, ScenarioId, ContentId, Timestamp, Completion, REQ/REP, SimType, Centrality, OriginPolicy
5,1,4,135.227848,,REQ,ML,Agglom,Push
5,1,4,135.397821,135.397821,REP,ML,Agglom,Push
5,1,5,130.227848,,REQ,ML,Agglom,Push
5,1,5,130.440883,130.667757,REP,ML,Agglom,Push
5,2,4,135.227848,,REQ,ML,Agglom,Pull
5,2,4,137.670705,137.670705,REP,ML,Agglom,Pull
5,2,5,130.227848,,REQ,ML,Agglom,Pull
5,2,5,133.259760,133.423034,REP,ML,Agglom,Pull
5,9,4,215.388436,,REQ,ML,Agglom,Push
5,9,4,215.535711,215.535711,REP,ML,Agglom,Push
5,9,5,210.388436,,REQ,ML,Agglom,Push
5,9,5,210.666395,210.855357,REP,ML,Agglom,Push
5,10,4,215.164740,,REQ,ML,Agglom,Pull
5,10,4,217.974704,217.974704,REP,ML,Agglom,Pull
5,10,5,210.164740,,REQ,ML,Agglom,Pull
5,10,5,214.634182,214.951872,REP,ML,Agglom,Pull
5,17,4,295.405979,,REQ,ML,Agglom,Push
5,17,4,295.620759,295.620759,REP,ML,Agglom,Push
5,17,5,290.405979,,REQ,ML,Agglom,Push
5,17,5,290.603723,291.182271,REP,ML,Agglom,Push
5,18,4,295.360437,,REQ,ML,Agglom,Pull
5,18,4,297.915916,297.915916,REP,ML,Agglom,Pull
5,18,5,290.360437,,REQ,ML,Agglom,Pull
5,18,5,293.503267,294.302295,REP,ML,Agglom,Pull
10,1,4,135.110682,,REQ,ML,Agglom,Push
10,1,4,135.272049,135.272049,REP,ML,Agglom,Push
10,1,5,130.110682,,REQ,ML,Agglom,Push
10,1,5,130.487211,130.502606,REP,ML,Agglom,Push
10,2,4,135.110682,,REQ,ML,Agglom,Pull
10,2,4,137.858016,137.858016,REP,ML,Agglom,Pull
10,2,5,130.110682,,REQ,ML,Agglom,Pull
10,2,5,133.302185,133.478404,REP,ML,Agglom,Pull
10,9,4,215.204863,,REQ,ML,Agglom,Push
10,9,4,215.491266,215.491266,REP,ML,Agglom,Push
10,9,5,210.204863,,REQ,ML,Agglom,Push
10,9,5,210.569701,210.619970,REP,ML,Agglom,Push
10,10,4,215.380753,,REQ,ML,Agglom,Pull
10,10,4,219.685136,219.685136,REP,ML,Agglom,Pull
10,10,5,210.380753,,REQ,ML,Agglom,Pull
10,10,5,215.319670,215.532369,REP,ML,Agglom,Pull
10,17,4,295.124855,,REQ,ML,Agglom,Push
10,17,4,295.269012,295.269012,REP,ML,Agglom,Push
10,17,5,290.124855,,REQ,ML,Agglom,Push
10,17,5,290.316236,290.445502,REP,ML,Agglom,Push
10,18,4,295.341090,,REQ,ML,Agglom,Pull
10,18,4,299.658430,299.658430,REP,ML,Agglom,Pull
10,18,5,290.341090,,REQ,ML,Agglom,Pull
10,18,5,295.331907,295.461420,REP,ML,Agglom,Pull
15,1,4,135.219651,,REQ,ML,Agglom,Push
15,1,4,135.955936,135.955936,REP,ML,Agglom,Push
15,1,5,130.219651,,REQ,ML,Agglom,Push
15,1,5,130.591291,130.663120,REP,ML,Agglom,Push
15,2,4,135.219651,,REQ,ML,Agglom,Pull
15,2,4,138.081097,138.081097,REP,ML,Agglom,Pull
15,2,5,130.219651,,REQ,ML,Agglom,Pull
15,2,5,133.434135,133.796429,REP,ML,Agglom,Pull
15,9,4,215.131530,,REQ,ML,Agglom,Push
15,9,4,215.310709,215.310709,REP,ML,Agglom,Push
15,9,5,210.131530,,REQ,ML,Agglom,Push
15,9,5,210.321065,210.931229,REP,ML,Agglom,Push
15,10,4,215.133513,,REQ,ML,Agglom,Pull
15,10,4,219.471459,219.471459,REP,ML,Agglom,Pull
15,10,5,210.133513,,REQ,ML,Agglom,Pull
15,10,5,214.400598,214.668380,REP,ML,Agglom,Pull
15,17,4,295.060140,,REQ,ML,Agglom,Push
15,17,4,295.598786,295.598786,REP,ML,Agglom,Push
15,17,5,290.060140,,REQ,ML,Agglom,Push
15,17,5,290.379664,290.773211,REP,ML,Agglom,Push
15,18,4,295.062680,,REQ,ML,Agglom,Pull
15,18,4,299.814452,299.814452,REP,ML,Agglom,Pull
15,18,5,290.062680,-,REQ,ML,Degree,Pull
15,18,5,294.956704,295.490818,REP,ML,Degree,Pull
20,1,4,135.326525,,REQ,ML,Agglom,Push
20,1,4,135.746137,135.746137,REP,ML,Agglom,Push
20,1,5,130.326525,,REQ,ML,Agglom,Push
20,1,5,130.700973,131.181513,REP,ML,Agglom,Push
20,2,4,135.326525,,REQ,ML,Agglom,Pull
20,2,4,137.953126,137.953126,REP,ML,Agglom,Pull
20,2,5,130.326525,,REQ,ML,Agglom,Pull
20,2,5,133.893537,134.067824,REP,ML,Agglom,Pull
20,9,4,215.021709,,REQ,ML,Agglom,Push
20,9,4,215.489758,215.489758,REP,ML,Agglom,Push
20,9,5,210.021709,,REQ,ML,Agglom,Push
20,9,5,210.222620,210.641861,REP,ML,Agglom,Push
20,10,4,215.290382,,REQ,ML,Agglom,Pull
20,10,4,219.118563,219.118563,REP,ML,Agglom,Pull
20,10,5,210.290382,,REQ,ML,Agglom,Pull
20,10,5,213.705708,214.030522,REP,ML,Agglom,Pull
20,17,4,295.333661,,REQ,ML,Agglom,Push
20,17,4,295.565637,295.565637,REP,ML,Agglom,Push
20,17,5,290.333661,,REQ,ML,Agglom,Push
20,17,5,290.738486,290.915989,REP,ML,Agglom,Push
20,18,4,295.087086,,REQ,ML,Agglom,Pull
20,18,4,300.503713,300.503713,REP,ML,Agglom,Pull
20,18,5,290.087086,,REQ,ML,Agglom,Pull
20,18,5,296.023156,296.716722,REP,ML,Agglom,Pull
